run,generation,best_gen_raw,avg_raw,std_dev_raw
33,0,0.000100,0.000001,0.000007
33,1,0.000100,0.000001,0.000007
33,2,0.001000,0.000005,0.000052
33,3,0.010000,0.000030,0.000502
33,4,0.100000,0.000254,0.005000
33,5,0.010000,0.000034,0.000505
33,6,0.010000,0.000038,0.000509
33,7,0.010000,0.000042,0.000512
33,8,0.100000,0.000327,0.005048
33,9,0.010000,0.000136,0.001006
33,10,0.100000,0.001148,0.009999
33,11,30.900000,0.077713,1.544985
33,12,27.000000,0.068374,1.349976
33,13,64.600000,0.163261,3.229931
33,14,0.100000,0.001031,0.007308
33,15,44.700000,0.171608,2.510815
33,16,41.800000,0.261796,3.103042
33,17,42.900000,0.310364,3.527150
33,18,52.500000,0.737599,5.644885
33,19,45.700000,0.503105,4.142067
33,20,47.500000,0.513311,4.515629
33,21,43.700000,0.476241,4.164907
33,22,51.400000,0.890326,5.886903
33,23,54.900000,0.966224,6.090015
33,24,55.500000,1.762624,8.090552
33,25,55.500000,3.232170,10.735357
33,26,55.800000,3.313782,10.824520
33,27,59.200000,4.391818,12.474143
33,28,63.700000,5.439517,13.679202
33,29,56.700000,5.373526,13.629592
33,30,54.700000,7.033103,14.857789
33,31,61.000000,7.943972,15.567455
33,32,55.500000,8.835777,16.226075
33,33,57.400000,9.702815,16.418522
33,34,60.400000,11.451822,18.161456
33,35,53.900000,11.665334,17.687144
33,36,71.700000,13.826392,18.555396
33,37,56.700000,13.688381,18.364538
33,38,60.500000,14.930012,18.837037
33,39,62.400000,17.414824,19.845399
33,40,59.400000,17.534427,19.893556
33,41,63.500000,19.321622,20.701756
33,42,62.400000,20.796504,20.194627
33,43,60.400000,19.155586,20.516005
33,44,63.400000,20.650004,20.658193
33,45,63.700000,22.715563,21.285619
33,46,60.700000,22.877803,21.275286
33,47,68.500000,25.230919,21.123140
33,48,64.600000,26.400800,20.681311
33,49,67.400000,26.031628,21.226361
33,50,69.500000,25.965223,21.118657
33,51,66.400000,26.314196,21.501172
33,52,64.600000,27.336301,21.364158
33,53,74.300000,29.572793,21.121109
33,54,70.200000,31.088028,21.178582
33,55,71.400000,31.156235,21.805613
33,56,65.500000,31.446145,22.083351
33,57,67.500000,30.806708,22.988110
33,58,71.600000,35.228083,22.639088
33,59,73.400000,35.188738,23.706181
33,60,72.700000,36.302708,23.600277
33,61,74.200000,34.283133,25.020898
33,62,74.300000,39.969260,23.515071
33,63,79.300000,42.171430,22.435025
33,64,78.600000,42.012325,24.072212
33,65,88.400000,41.914008,24.895827
33,66,79.400000,46.769125,23.454128
33,67,76.600000,43.290255,26.329179
33,68,79.400000,47.801835,24.256425
33,69,81.400000,50.087778,24.345736
33,70,80.300000,53.963677,22.073336
33,71,86.100000,55.017877,22.435214
33,72,86.100000,55.310550,24.260275
33,73,83.300000,57.279902,22.563002
33,74,86.300000,56.275277,25.497954
33,75,85.300000,59.419750,23.631877
33,76,88.300000,59.172575,25.355638
33,77,91.200000,62.557302,22.903719
33,78,90.200000,61.732403,24.917437
33,79,90.200000,64.775253,23.572768
33,80,89.300000,61.342425,28.368752
33,81,90.300000,64.080400,26.482323
33,82,90.300000,66.139000,26.415332
33,83,90.200000,68.718352,24.833761
33,84,92.400000,68.840575,26.882758
33,85,93.300000,71.580075,24.858400
33,86,91.100000,73.544600,25.062451
33,87,93.300000,76.504775,23.416034
33,88,91.200000,77.972825,23.787727
33,89,90.300000,80.493275,22.083737
33,90,90.300000,80.610775,24.751826
33,91,90.300000,84.008325,20.387705
33,92,90.300000,86.433000,16.560531
33,93,90.300000,86.100025,18.195050
33,94,90.400000,85.683252,19.199841
33,95,90.400000,87.952750,13.405983
33,96,90.300000,86.662250,16.611974
33,97,90.300000,86.916500,16.037585
33,98,90.300000,88.118750,12.684902
33,99,90.300000,87.182000,15.419542
