run,generation,best_gen_raw,avg_raw,std_dev_raw
31,0,0.000100,0.000000,0.000005
31,1,0.001000,0.000003,0.000050
31,2,0.010000,0.000031,0.000505
31,3,0.000100,0.000002,0.000013
31,4,0.010000,0.000056,0.000708
31,5,0.100000,0.000285,0.005024
31,6,0.001000,0.000012,0.000088
31,7,0.010000,0.000045,0.000514
31,8,0.010000,0.000099,0.000872
31,9,47.500000,0.119232,2.374981
31,10,0.100000,0.000928,0.008696
31,11,0.010000,0.000152,0.001010
31,12,0.100000,0.000980,0.008706
31,13,0.100000,0.000750,0.007168
31,14,0.100000,0.001431,0.010099
31,15,0.100000,0.001595,0.011206
31,16,0.100000,0.001732,0.011232
31,17,0.100000,0.002084,0.012283
31,18,51.500000,0.131332,2.574905
31,19,59.500000,0.219052,3.257550
31,20,47.700000,0.298724,3.531334
31,21,37.300000,0.181700,2.480060
31,22,49.500000,0.475661,4.245896
31,23,50.300000,0.802731,5.636076
31,24,42.700000,0.844019,5.307863
31,25,54.400000,1.161451,7.015375
31,26,64.100000,1.844624,8.567206
31,27,58.500000,2.491859,9.697090
31,28,56.700000,2.375207,9.233909
31,29,45.700000,2.047228,8.078678
31,30,51.400000,3.259299,10.369620
31,31,48.800000,3.185083,10.402531
31,32,52.200000,3.765685,11.177306
31,33,72.700000,4.319341,11.975206
31,34,69.100000,6.525196,14.507945
31,35,56.300000,7.743069,15.519234
31,36,64.400000,8.546990,15.430871
31,37,60.300000,11.008809,17.183178
31,38,54.300000,10.890684,17.021747
31,39,57.300000,12.103500,17.355000
31,40,56.600000,12.550737,17.722817
31,41,60.500000,13.829475,18.023065
31,42,59.600000,15.273469,18.285313
31,43,60.400000,17.199139,19.169808
31,44,58.500000,18.820556,19.211310
31,45,64.600000,20.034309,19.791446
31,46,60.600000,23.051466,20.022318
31,47,71.700000,24.557236,20.209423
31,48,68.500000,24.693168,20.120663
31,49,57.600000,26.057210,19.833685
31,50,65.400000,27.156060,20.250810
31,51,67.500000,28.779808,20.382544
31,52,64.800000,28.709863,21.549751
31,53,67.400000,31.673833,21.215367
31,54,64.600000,33.609331,20.575294
31,55,66.500000,33.195933,21.458701
31,56,67.500000,34.714588,21.429022
31,57,67.300000,35.175240,21.759376
31,58,67.400000,37.865483,20.763861
31,59,74.400000,39.405176,21.346840
31,60,74.800000,39.415580,21.591228
31,61,69.700000,42.011583,20.625569
31,62,69.700000,40.487805,22.199372
31,63,71.500000,42.926228,21.424412
31,64,73.500000,45.130728,21.817941
31,65,73.600000,44.430683,23.204863
31,66,73.800000,47.369152,22.108383
31,67,78.700000,49.474752,21.351613
31,68,77.700000,50.114450,23.164175
31,69,79.500000,51.283200,23.297534
31,70,83.400000,54.620930,20.887562
31,71,78.400000,55.733852,19.825712
31,72,83.300000,55.491900,23.201871
31,73,83.400000,57.949430,22.302441
31,74,83.600000,58.022102,23.414226
31,75,82.700000,62.013825,20.370198
31,76,86.600000,63.289575,19.753856
31,77,91.500000,64.471600,20.752424
31,78,84.500000,64.631275,22.204317
31,79,87.500000,67.217750,20.899766
31,80,88.500000,68.343325,20.855316
31,81,87.500000,68.302075,22.401816
31,82,87.500000,70.185350,21.221428
31,83,87.500000,71.801750,21.254355
31,84,87.500000,71.949850,21.975814
31,85,87.700000,73.461325,20.658363
31,86,91.600000,72.893250,23.334401
31,87,91.700000,72.959800,23.671763
31,88,91.700000,73.305300,24.780041
31,89,92.500000,73.755075,24.930166
31,90,91.700000,75.047800,24.623213
31,91,92.600000,76.531525,23.672473
31,92,92.500000,75.973552,25.255173
31,93,92.500000,74.367550,28.027566
31,94,92.600000,76.860325,26.220526
31,95,92.600000,76.051100,27.998603
31,96,92.600000,78.941075,25.461105
31,97,92.600000,77.725825,27.863942
31,98,92.600000,79.948675,25.702779
31,99,92.600000,79.684127,26.708601
