run,generation,best_gen_raw,avg_raw,std_dev_raw
41,0,0.001000,0.000005,0.000071
41,1,0.000100,0.000001,0.000009
41,2,0.001000,0.000006,0.000071
41,3,0.001000,0.000005,0.000052
41,4,0.010000,0.000038,0.000507
41,5,0.010000,0.000038,0.000507
41,6,0.010000,0.000043,0.000512
41,7,0.010000,0.000043,0.000509
41,8,0.100000,0.000600,0.007109
41,9,0.010000,0.000136,0.001006
41,10,0.100000,0.000742,0.007168
41,11,0.100000,0.000513,0.005182
41,12,0.100000,0.001392,0.010070
41,13,0.100000,0.001451,0.010098
41,14,0.100000,0.001916,0.011280
41,15,42.800000,0.265135,3.109466
41,16,0.100000,0.003574,0.017105
41,17,51.300000,0.651658,5.307025
41,18,55.500000,0.272493,3.777215
41,19,45.300000,0.531339,4.388937
41,20,53.500000,0.586372,5.199572
41,21,61.400000,0.256064,3.619136
41,22,52.500000,0.799574,5.614370
41,23,58.900000,1.035808,6.261869
41,24,45.300000,0.834480,5.489123
41,25,60.200000,1.468672,7.836124
41,26,68.700000,1.718379,8.591533
41,27,60.100000,2.629364,10.226712
41,28,59.400000,3.183779,11.192157
41,29,66.700000,2.768964,10.538616
41,30,51.900000,3.129699,10.733371
41,31,61.200000,4.880267,13.465589
41,32,57.200000,5.631811,14.000904
41,33,68.600000,6.248032,15.412230
41,34,67.200000,8.186087,16.639093
41,35,59.500000,7.663815,15.889874
41,36,61.400000,6.706614,15.201664
41,37,70.200000,10.487379,18.206564
41,38,66.100000,12.621227,19.211156
41,39,74.200000,13.447822,19.656299
41,40,67.600000,15.672061,20.643038
41,41,68.300000,17.686859,21.408768
41,42,64.700000,17.082489,21.247428
41,43,70.300000,19.019978,21.568529
41,44,72.400000,21.737923,22.126892
41,45,70.300000,23.203045,22.260281
41,46,65.200000,24.679598,22.303442
41,47,69.400000,27.496385,22.564155
41,48,65.800000,30.267268,22.220049
41,49,78.400000,32.724385,22.244966
41,50,74.400000,33.685761,23.227603
41,51,74.500000,37.138005,22.788125
41,52,75.200000,40.326328,22.738932
41,53,77.300000,41.561960,24.150996
41,54,82.300000,44.628305,23.559336
41,55,82.300000,44.613450,24.326613
41,56,83.200000,46.905727,25.029321
41,57,83.500000,47.447280,25.551235
41,58,80.500000,51.692677,23.300318
41,59,79.400000,55.630175,22.186096
41,60,85.200000,54.165050,24.585623
41,61,84.500000,55.671400,24.717277
41,62,83.400000,58.362100,23.475208
41,63,88.400000,60.838350,23.433254
41,64,87.100000,60.909102,24.803590
41,65,88.200000,62.715825,24.105886
41,66,88.300000,65.059150,22.502819
41,67,93.300000,64.553350,25.840282
41,68,88.400000,68.043075,23.066849
41,69,89.100000,67.369653,25.513883
41,70,94.200000,70.253325,23.416498
41,71,89.300000,71.247727,23.336807
41,72,89.300000,72.847610,22.471148
41,73,93.100000,70.485855,27.391914
41,74,92.200000,73.574478,24.405215
41,75,96.200000,74.649050,25.057523
41,76,97.200000,77.488552,22.918474
41,77,97.200000,79.556532,21.337894
41,78,96.200000,79.821577,22.566143
41,79,93.300000,78.624857,25.271978
41,80,97.200000,83.240277,18.301598
41,81,97.200000,82.954882,19.719774
41,82,93.200000,84.055277,17.862848
41,83,93.400000,83.088127,20.173603
41,84,93.400000,83.924860,19.372335
41,85,93.200000,84.960352,17.510191
41,86,93.200000,82.993357,22.044565
41,87,93.200000,84.341830,20.518048
41,88,93.200000,84.847355,20.210741
41,89,93.200000,84.115532,22.854381
41,90,93.200000,82.818853,26.221942
41,91,93.200000,85.726068,23.218093
41,92,93.200000,85.200828,24.794875
41,93,93.200000,87.184803,21.643353
41,94,93.200000,89.999278,15.933050
41,95,93.200000,89.342800,17.735395
41,96,93.200000,88.744103,19.329175
41,97,93.200000,89.152828,17.765227
41,98,93.200000,89.186780,18.281541
41,99,93.200000,90.001575,15.947818
