run,generation,best_gen_raw,avg_raw,std_dev_raw
21,0,0.000100,0.000000,0.000005
21,1,0.001000,0.000006,0.000071
21,2,0.010000,0.000027,0.000500
21,3,0.001000,0.000010,0.000087
21,4,0.010000,0.000055,0.000708
21,5,0.010000,0.000069,0.000717
21,6,0.010000,0.000070,0.000714
21,7,0.001000,0.000031,0.000157
21,8,0.010000,0.000082,0.000721
21,9,0.100000,0.000685,0.007154
21,10,0.100000,0.000715,0.007169
21,11,0.010000,0.000218,0.001231
21,12,0.010000,0.000356,0.001710
21,13,0.100000,0.001171,0.008784
21,14,0.100000,0.002181,0.012307
21,15,0.100000,0.001897,0.011273
21,16,52.700000,0.135161,2.634880
21,17,45.700000,0.116739,2.284914
21,18,47.700000,0.201191,2.827334
21,19,46.600000,0.477914,4.291737
21,20,31.200000,0.142900,1.956383
21,21,45.600000,0.701867,5.265026
21,22,44.800000,0.351945,3.556761
21,23,45.700000,0.684911,5.118353
21,24,46.500000,0.406337,3.650438
21,25,57.500000,1.438359,7.412505
21,26,58.700000,1.586654,8.082662
21,27,49.600000,1.226805,6.517090
21,28,59.600000,2.125225,9.203146
21,29,56.600000,3.157397,10.989650
21,30,55.400000,3.205079,10.696972
21,31,65.400000,5.240254,13.582421
21,32,64.600000,5.145079,13.047106
21,33,62.500000,7.891534,15.995866
21,34,57.500000,8.908530,16.310432
21,35,61.400000,9.376932,16.654169
21,36,54.700000,8.725665,15.624038
21,37,62.400000,9.900917,16.570355
21,38,58.600000,10.758922,16.905916
21,39,60.600000,13.258328,18.468120
21,40,63.300000,15.199715,18.727099
21,41,57.500000,15.725709,18.783814
21,42,62.300000,16.938641,19.293774
21,43,61.500000,18.239437,19.603313
21,44,56.500000,19.749948,19.778836
21,45,59.400000,21.159444,19.853889
21,46,60.500000,21.202294,20.464787
21,47,62.000000,22.983023,20.151412
21,48,61.700000,24.709528,20.042030
21,49,57.400000,26.661753,19.625112
21,50,60.500000,24.891481,20.463731
21,51,62.400000,25.575396,20.852651
21,52,70.200000,27.723713,20.676405
21,53,70.300000,29.351343,20.872982
21,54,63.300000,32.953408,20.171682
21,55,66.300000,32.573945,21.114292
21,56,68.400000,31.876475,21.657624
21,57,68.500000,33.758008,20.878636
21,58,69.300000,33.446013,21.854151
21,59,73.500000,38.656606,20.591721
21,60,71.600000,38.401128,21.762090
21,61,77.400000,39.845556,22.079432
21,62,71.100000,39.786540,22.375976
21,63,73.300000,40.476080,23.562174
21,64,76.300000,44.332687,22.375879
21,65,73.800000,47.148880,20.842089
21,66,76.400000,48.383603,21.597747
21,67,79.200000,47.149865,23.619425
21,68,85.400000,49.440203,22.945237
21,69,84.600000,50.436455,24.309743
21,70,83.100000,51.965425,23.772916
21,71,81.200000,54.414475,22.991166
21,72,82.400000,53.565682,25.199357
21,73,87.400000,56.381175,24.837375
21,74,88.200000,55.017825,27.342359
21,75,86.400000,60.475075,23.662366
21,76,90.100000,61.163827,24.410533
21,77,89.300000,62.993502,24.079757
21,78,91.300000,62.811053,26.337623
21,79,90.200000,63.347680,27.154704
21,80,90.200000,64.208180,27.768888
21,81,91.200000,67.936875,24.589193
21,82,90.400000,64.783782,29.585944
21,83,90.200000,68.309252,27.202042
21,84,95.200000,70.274575,26.752647
21,85,93.400000,73.150753,24.927933
21,86,95.200000,73.913028,26.350350
21,87,95.200000,71.701375,29.490688
21,88,95.200000,71.992275,29.900984
21,89,95.200000,74.475480,28.117953
21,90,95.200000,76.127858,27.693918
21,91,95.200000,77.549453,26.816712
21,92,95.200000,76.667000,28.833220
21,93,95.200000,81.533600,23.401504
21,94,95.200000,80.900530,25.209778
21,95,95.200000,81.625728,24.612612
21,96,95.200000,79.335875,28.008029
21,97,95.200000,83.375175,22.544462
21,98,95.200000,81.218275,26.024554
21,99,95.200000,85.537950,18.172170
