run,generation,best_gen_raw,avg_raw,std_dev_raw
29,0,0.001000,0.000003,0.000050
29,1,0.000100,0.000001,0.000005
29,2,0.001000,0.000003,0.000050
29,3,0.001000,0.000006,0.000071
29,4,0.010000,0.000029,0.000502
29,5,0.001000,0.000010,0.000087
29,6,0.010000,0.000042,0.000514
29,7,0.001000,0.000011,0.000088
29,8,0.010000,0.000095,0.000871
29,9,60.200000,0.150572,3.009996
29,10,0.010000,0.000104,0.000874
29,11,0.010000,0.000158,0.001120
29,12,0.100000,0.000449,0.005139
29,13,0.100000,0.000496,0.005182
29,14,0.100000,0.001152,0.008785
29,15,0.100000,0.001370,0.008856
29,16,0.100000,0.001774,0.011247
29,17,58.500000,0.319065,3.785244
29,18,52.800000,0.222902,3.157970
29,19,0.100000,0.003966,0.017122
29,20,49.900000,0.128137,2.494875
29,21,57.700000,0.532398,5.266629
29,22,78.300000,0.202396,3.914724
29,23,59.800000,0.843326,6.319113
29,24,53.800000,0.563172,5.002864
29,25,65.700000,0.867789,6.505412
29,26,68.500000,1.772811,9.427497
29,27,62.800000,1.272906,7.638828
29,28,61.000000,3.100385,12.100264
29,29,62.500000,2.133734,9.425793
29,30,64.500000,2.585579,10.539274
29,31,60.600000,2.877603,11.270182
29,32,74.400000,4.184603,13.472427
29,33,71.700000,5.010490,14.412975
29,34,80.500000,5.712427,15.260655
29,35,68.800000,6.668213,16.846358
29,36,73.500000,6.102239,16.301119
29,37,72.600000,6.073264,15.868356
29,38,81.700000,8.980542,18.807683
29,39,79.400000,10.050652,19.505215
29,40,65.400000,11.534291,20.814617
29,41,72.400000,10.671709,20.156462
29,42,69.600000,9.587221,19.030403
29,43,72.300000,12.631885,21.011797
29,44,72.600000,13.435392,21.696284
29,45,84.600000,15.784730,23.212241
29,46,89.400000,15.363172,22.993258
29,47,79.600000,19.785959,25.161540
29,48,78.300000,20.589539,25.219764
29,49,76.700000,21.572434,25.447996
29,50,82.600000,21.678114,25.413895
29,51,79.500000,24.577828,25.405842
29,52,83.300000,27.965278,26.516454
29,53,81.900000,26.913331,26.320100
29,54,79.400000,29.593451,27.224102
29,55,84.400000,30.859458,27.394195
29,56,83.700000,31.499158,27.779741
29,57,82.700000,33.818608,28.124077
29,58,83.600000,36.451319,27.804929
29,59,82.600000,36.389484,28.692448
29,60,89.600000,38.838968,27.972307
29,61,89.500000,37.878816,28.839742
29,62,87.800000,39.895628,29.359791
29,63,88.600000,42.214573,28.861440
29,64,93.400000,45.306696,28.459581
29,65,92.400000,44.893648,29.728566
29,66,90.500000,46.940160,28.565645
29,67,90.600000,48.001386,29.645816
29,68,90.800000,47.035016,31.077302
29,69,88.700000,45.571908,31.802181
29,70,93.400000,48.917965,31.255213
29,71,93.500000,49.569381,31.366164
29,72,96.600000,55.093283,30.297163
29,73,97.600000,53.696957,31.917634
29,74,94.400000,57.448655,29.987302
29,75,98.500000,56.438613,31.007366
29,76,97.400000,55.765848,32.536454
29,77,97.600000,55.434637,33.184186
29,78,102.500000,60.960003,30.531420
29,79,98.500000,59.928490,31.902455
29,80,97.500000,63.352958,30.439535
29,81,106.500000,65.008080,29.771576
29,82,101.400000,65.699740,30.581432
29,83,98.500000,65.810725,31.892190
29,84,101.300000,68.355430,31.527066
29,85,98.500000,68.893930,31.422251
29,86,101.400000,69.319932,32.837491
29,87,101.500000,71.810425,30.884452
29,88,101.400000,72.536107,31.946308
29,89,103.400000,72.957105,33.213053
29,90,102.500000,76.244150,31.281114
29,91,103.400000,81.586300,26.706958
29,92,101.500000,81.515603,28.466894
29,93,102.300000,79.999800,30.638047
29,94,102.300000,78.157052,32.566902
29,95,102.300000,81.178100,30.367581
29,96,102.500000,83.346750,27.876540
29,97,101.400000,84.455600,26.237304
29,98,101.400000,83.541300,28.198270
29,99,102.400000,87.382327,23.429500
