run,generation,best_gen_raw,avg_raw,std_dev_raw
23,0,0.000100,0.000000,0.000005
23,1,0.001000,0.000005,0.000071
23,2,0.001000,0.000003,0.000050
23,3,0.010000,0.000034,0.000507
23,4,0.010000,0.000035,0.000507
23,5,0.010000,0.000032,0.000505
23,6,0.010000,0.000067,0.000715
23,7,0.001000,0.000022,0.000132
23,8,0.010000,0.000044,0.000514
23,9,0.100000,0.000292,0.005024
23,10,0.010000,0.000103,0.000873
23,11,0.100000,0.000633,0.007124
23,12,0.010000,0.000124,0.000882
23,13,0.100000,0.000465,0.005160
23,14,0.100000,0.000717,0.007153
23,15,0.100000,0.000776,0.007183
23,16,0.100000,0.001635,0.011212
23,17,0.100000,0.000923,0.007253
23,18,0.100000,0.002052,0.012260
23,19,50.600000,0.326742,3.767011
23,20,0.100000,0.004869,0.019612
23,21,59.600000,0.154007,2.979813
23,22,53.500000,0.395620,4.503555
23,23,65.200000,0.765066,6.239360
23,24,49.800000,0.135327,2.489618
23,25,61.700000,0.617302,5.506327
23,26,61.900000,0.927229,6.579534
23,27,67.500000,1.685612,9.013056
23,28,63.500000,1.345959,8.096377
23,29,75.800000,1.964720,9.616031
23,30,86.600000,2.587545,11.450895
23,31,71.600000,3.622072,13.367407
23,32,69.700000,3.264976,12.543469
23,33,64.600000,2.651794,11.358214
23,34,69.200000,4.602626,14.875071
23,35,68.700000,4.458211,14.996172
23,36,72.500000,6.456598,17.557337
23,37,67.800000,6.026134,16.972176
23,38,77.400000,7.126137,17.859295
23,39,86.500000,9.369515,20.936915
23,40,73.700000,9.541001,20.711695
23,41,70.400000,12.238118,22.672758
23,42,85.400000,12.968219,23.142746
23,43,83.400000,16.763430,25.874615
23,44,84.400000,17.581259,25.925839
23,45,81.900000,17.791646,25.960924
23,46,85.400000,21.652301,27.486984
23,47,84.600000,22.982113,28.510835
23,48,88.700000,25.944992,29.140679
23,49,90.700000,30.093026,30.131471
23,50,86.500000,30.322366,30.663728
23,51,93.200000,30.666821,31.024898
23,52,93.800000,33.262000,32.083869
23,53,89.400000,34.333991,31.432525
23,54,97.700000,35.318468,31.677213
23,55,91.500000,38.575293,32.597575
23,56,93.400000,39.680818,32.248270
23,57,97.700000,43.305863,32.629694
23,58,98.400000,47.077235,32.294211
23,59,100.400000,47.582731,32.817120
23,60,99.200000,49.543063,33.324818
23,61,98.500000,50.619013,34.173455
23,62,97.800000,56.561680,32.657197
23,63,104.300000,58.828358,33.491099
23,64,103.500000,60.841608,33.848636
23,65,103.600000,65.797033,31.397565
23,66,109.400000,63.979500,34.311230
23,67,106.600000,65.807578,33.918002
23,68,103.600000,66.354878,34.845052
23,69,109.400000,71.062453,33.027844
23,70,105.600000,69.761562,34.777352
23,71,108.300000,69.709653,36.205832
23,72,107.200000,75.734855,32.831377
23,73,112.500000,74.410137,35.189512
23,74,108.600000,75.746082,34.805205
23,75,107.600000,75.514236,36.317458
23,76,112.700000,75.876143,36.300693
23,77,113.400000,80.432752,33.612216
23,78,112.500000,80.214505,34.838899
23,79,112.600000,81.791907,34.463430
23,80,113.400000,81.239580,35.605816
23,81,113.400000,83.615527,33.112917
23,82,114.300000,82.570905,34.448064
23,83,114.400000,80.689630,36.651261
23,84,118.400000,82.251430,36.029377
23,85,118.400000,84.855483,33.969714
23,86,114.400000,84.263208,35.548251
23,87,117.500000,84.065063,36.368690
23,88,118.300000,84.946033,36.431225
23,89,117.500000,84.802235,36.491180
23,90,121.500000,88.247452,34.630835
23,91,122.500000,89.299180,34.346508
23,92,121.500000,86.663578,37.519837
23,93,122.500000,90.829255,34.777417
23,94,122.500000,91.203650,36.037092
23,95,123.200000,91.809227,36.244195
23,96,123.300000,91.764980,37.005117
23,97,122.500000,93.559925,36.175173
23,98,123.400000,97.018175,34.461718
23,99,123.200000,98.291882,35.310060
