run,generation,best_gen_raw,avg_raw,std_dev_raw
38,0,0.000100,0.000002,0.000012
38,1,0.010000,0.000035,0.000507
38,2,0.001000,0.000016,0.000112
38,3,0.001000,0.000022,0.000132
38,4,0.010000,0.000090,0.000727
38,5,0.010000,0.000052,0.000518
38,6,0.010000,0.000099,0.000872
38,7,0.100000,0.000317,0.005025
38,8,0.100000,0.000430,0.005117
38,9,0.100000,0.000638,0.007124
38,10,0.100000,0.000452,0.005138
38,11,0.100000,0.000515,0.005182
38,12,28.700000,0.072182,1.434980
38,13,45.900000,0.115730,2.294962
38,14,28.200000,0.071324,1.409969
38,15,0.100000,0.002623,0.014097
38,16,37.000000,0.094381,1.849940
38,17,0.100000,0.003121,0.014940
38,18,47.900000,0.210094,2.959564
38,19,0.100000,0.003405,0.013379
38,20,51.700000,0.304665,3.544188
38,21,41.800000,0.212405,2.913059
38,22,50.200000,0.501569,4.452483
38,23,46.600000,0.617400,4.950376
38,24,59.200000,0.939739,6.589887
38,25,52.700000,1.477481,7.757284
38,26,57.100000,1.754734,8.576147
38,27,53.900000,2.234563,9.759271
38,28,58.800000,3.058185,11.227052
38,29,61.300000,3.297566,11.696445
38,30,62.600000,4.579475,13.752698
38,31,61.200000,4.374716,13.648598
38,32,65.900000,6.716350,16.506844
38,33,63.800000,6.975563,16.751748
38,34,67.700000,8.626869,18.010962
38,35,56.900000,8.399657,17.786144
38,36,64.200000,9.999117,19.253375
38,37,60.800000,11.453014,19.775517
38,38,61.900000,10.570699,19.225859
38,39,65.800000,10.360964,19.270217
38,40,60.800000,11.809796,20.033776
38,41,67.700000,16.292287,22.383287
38,42,66.900000,18.150240,23.256256
38,43,62.700000,18.768177,23.471031
38,44,67.700000,19.347694,23.522475
38,45,66.900000,19.955273,24.142420
38,46,67.900000,20.812189,23.926140
38,47,64.700000,21.706011,23.678635
38,48,67.800000,25.256581,24.193833
38,49,69.500000,29.509746,23.991049
38,50,72.800000,31.608520,23.918299
38,51,68.100000,31.061295,24.756713
38,52,68.000000,32.822849,24.871154
38,53,69.900000,34.168460,25.120962
38,54,73.700000,33.458885,25.509320
38,55,75.600000,34.486381,26.063741
38,56,75.700000,36.510833,26.888540
38,57,76.000000,37.204888,27.222282
38,58,75.000000,39.675288,26.574573
38,59,76.800000,41.432495,26.735925
38,60,79.700000,43.627737,27.131113
38,61,80.800000,43.893203,27.596369
38,62,82.400000,46.398705,26.949514
38,63,81.500000,46.924610,28.315170
38,64,81.800000,48.667032,27.897400
38,65,85.800000,50.063630,28.092740
38,66,91.500000,51.835455,28.297829
38,67,85.900000,54.922482,27.279048
38,68,86.400000,55.791702,28.135457
38,69,89.900000,57.782450,27.235054
38,70,86.700000,59.196055,27.437557
38,71,87.700000,58.979177,28.471425
38,72,90.700000,59.816950,28.772099
38,73,91.600000,62.513900,27.477247
38,74,91.600000,65.229875,26.160157
38,75,90.800000,63.341452,27.930149
38,76,91.400000,64.179127,27.983899
38,77,91.600000,65.945682,26.688443
38,78,94.700000,64.628605,28.753917
38,79,91.500000,65.848100,27.909763
38,80,90.800000,69.099900,25.484904
38,81,91.600000,69.671675,26.004797
38,82,91.700000,70.780575,25.464650
38,83,91.600000,70.905050,25.872323
38,84,91.700000,71.664350,26.737269
38,85,91.700000,72.174050,26.272296
38,86,91.600000,74.131375,25.600209
38,87,94.600000,77.441800,22.652593
38,88,91.700000,75.958800,26.445436
38,89,91.700000,81.929500,18.921445
38,90,91.700000,82.340750,19.384910
38,91,94.600000,84.128800,18.127045
38,92,91.700000,83.503527,19.982758
38,93,91.700000,83.178275,21.344287
38,94,91.700000,87.072750,14.272257
38,95,91.700000,85.910325,17.821588
38,96,91.600000,87.226250,15.703370
38,97,91.700000,88.338750,14.446303
38,98,91.700000,88.127000,15.732584
38,99,91.700000,88.162775,16.320254
