run,generation,best_gen_raw,avg_raw,std_dev_raw
19,0,0.010000,0.000027,0.000500
19,1,0.001000,0.000005,0.000052
19,2,0.010000,0.000041,0.000512
19,3,0.010000,0.000128,0.001006
19,4,0.010000,0.000145,0.001116
19,5,0.010000,0.000166,0.001122
19,6,0.100000,0.000409,0.005094
19,7,0.100000,0.000736,0.007184
19,8,0.100000,0.000401,0.005094
19,9,0.100000,0.000668,0.005308
19,10,0.010000,0.000254,0.001237
19,11,0.100000,0.000577,0.005225
19,12,33.000000,0.083893,1.649961
19,13,0.100000,0.002052,0.013165
19,14,0.100000,0.001693,0.011216
19,15,41.800000,0.106160,2.089941
19,16,28.800000,0.074610,1.439930
19,17,50.500000,0.129101,2.524897
19,18,49.700000,0.339332,3.886038
19,19,36.300000,0.175789,2.416258
19,20,33.600000,0.202729,2.325265
19,21,46.800000,0.296599,3.375066
19,22,42.000000,0.486819,3.968311
19,23,51.500000,0.312873,3.564873
19,24,50.800000,0.801946,5.992817
19,25,58.000000,0.928969,6.481548
19,26,62.500000,1.781603,8.804850
19,27,54.700000,1.336024,7.387335
19,28,53.500000,1.546220,8.145896
19,29,57.700000,1.745710,8.596017
19,30,49.000000,1.719222,7.957105
19,31,55.800000,2.899633,10.496560
19,32,63.000000,3.537428,11.749978
19,33,75.900000,4.518129,13.231065
19,34,65.900000,4.601100,13.335382
19,35,61.600000,5.701610,14.280786
19,36,60.800000,6.932444,15.720177
19,37,60.800000,5.782315,14.633341
19,38,63.200000,6.855827,15.896818
19,39,61.900000,9.468598,17.976373
19,40,65.500000,10.185483,18.282112
19,41,65.400000,12.614079,19.461777
19,42,61.900000,13.918410,20.035225
19,43,60.200000,16.692301,21.385430
19,44,70.800000,20.339714,21.764304
19,45,68.500000,22.184923,22.183632
19,46,71.000000,24.466784,22.308790
19,47,63.700000,25.469696,22.992383
19,48,71.600000,27.501280,23.221436
19,49,71.600000,28.628460,23.154925
19,50,70.800000,30.481898,23.314612
19,51,71.000000,30.870273,23.803029
19,52,71.900000,32.774783,23.969310
19,53,72.700000,33.205008,24.630678
19,54,76.700000,38.230603,23.868648
19,55,78.700000,38.026306,25.026881
19,56,72.700000,39.454840,24.879725
19,57,77.600000,41.517958,24.861343
19,58,76.700000,43.246807,25.042947
19,59,79.600000,46.666450,23.702060
19,60,78.600000,48.922902,23.471388
19,61,75.900000,50.127425,24.015870
19,62,80.200000,51.471052,24.146330
19,63,79.400000,51.826150,24.794714
19,64,79.700000,56.183600,22.615517
19,65,81.800000,57.583100,22.878431
19,66,82.600000,59.282100,23.246398
19,67,83.600000,58.190253,26.053943
19,68,85.500000,61.981375,23.967392
19,69,88.400000,62.327075,25.402350
19,70,84.700000,66.228775,22.369765
19,71,85.500000,67.571275,22.285093
19,72,89.500000,67.799075,23.959562
19,73,87.500000,67.914050,24.783035
19,74,87.500000,69.959300,23.005835
19,75,87.400000,69.260075,24.625464
19,76,88.500000,68.183350,26.846889
19,77,88.500000,69.573825,25.302681
19,78,88.500000,71.640325,23.395177
19,79,89.400000,72.689300,23.035574
19,80,88.500000,74.204800,20.957163
19,81,85.600000,73.572127,22.572873
19,82,89.300000,74.220775,22.049801
19,83,89.300000,73.800875,23.389555
19,84,89.600000,72.158377,26.472788
19,85,89.600000,77.171550,19.693831
19,86,89.600000,77.755525,20.273545
19,87,89.300000,79.531150,18.871632
19,88,89.300000,78.834350,21.313102
19,89,89.300000,81.598050,16.754461
19,90,89.300000,82.107850,15.760485
19,91,89.300000,81.531325,17.274565
19,92,89.300000,82.528075,14.621433
19,93,89.300000,81.155275,18.200410
19,94,89.300000,80.840425,18.654198
19,95,90.400000,79.889375,20.295813
19,96,90.400000,81.238875,17.751463
19,97,89.500000,80.669375,18.643558
19,98,89.500000,80.889852,18.185445
19,99,90.300000,80.797125,18.642689
