run,generation,best_gen_raw,avg_raw,std_dev_raw
16,0,0.001000,0.000007,0.000072
16,1,0.001000,0.000008,0.000072
16,2,0.001000,0.000011,0.000088
16,3,0.001000,0.000013,0.000100
16,4,0.010000,0.000043,0.000512
16,5,0.010000,0.000106,0.000875
16,6,0.001000,0.000051,0.000202
16,7,0.010000,0.000109,0.000874
16,8,0.010000,0.000093,0.000725
16,9,0.100000,0.000694,0.007138
16,10,0.100000,0.001024,0.008729
16,11,0.100000,0.001149,0.008773
16,12,0.100000,0.001019,0.007309
16,13,0.100000,0.001854,0.012219
16,14,44.800000,0.114721,2.239908
16,15,51.100000,0.256353,3.591045
16,16,37.700000,0.096662,1.884925
16,17,38.500000,0.099918,1.924886
16,18,48.400000,0.244023,3.400297
16,19,56.700000,0.358181,4.179304
16,20,51.200000,0.476391,4.699831
16,21,60.000000,0.760068,6.151922
16,22,57.100000,0.980308,6.571175
16,23,72.700000,1.047478,7.454652
16,24,55.700000,1.987457,9.473103
16,25,64.600000,2.179334,10.144942
16,26,64.500000,2.401144,10.537883
16,27,70.500000,3.414679,12.461304
16,28,61.500000,2.932652,11.353420
16,29,70.700000,3.590301,13.189310
16,30,70.400000,4.986000,14.997441
16,31,72.500000,5.198372,15.335510
16,32,64.400000,6.168610,16.553821
16,33,60.600000,7.643735,17.664637
16,34,63.600000,7.672227,17.559596
16,35,71.600000,8.406327,18.472231
16,36,63.700000,9.088431,18.452147
16,37,63.700000,10.707858,20.483265
16,38,67.600000,9.889264,19.623354
16,39,73.700000,11.985736,20.770743
16,40,68.600000,12.243476,21.138649
16,41,74.400000,15.632219,23.753263
16,42,71.700000,16.595885,23.684263
16,43,68.900000,20.118747,24.561021
16,44,73.300000,20.325938,25.499763
16,45,78.900000,24.524188,26.303729
16,46,74.600000,24.492274,27.054890
16,47,75.600000,28.982358,27.649225
16,48,75.700000,29.824230,27.736169
16,49,77.400000,31.411071,27.973051
16,50,76.000000,33.481504,28.348749
16,51,76.500000,34.623291,29.017763
16,52,78.700000,35.933166,29.178485
16,53,82.500000,37.287131,29.563204
16,54,77.700000,42.205735,28.243430
16,55,81.800000,41.016590,29.213088
16,56,86.800000,46.577806,28.929441
16,57,82.900000,48.750908,28.738971
16,58,87.900000,50.700700,28.762359
16,59,87.400000,53.625180,28.308872
16,60,92.600000,56.483350,27.622501
16,61,88.800000,56.354675,29.636527
16,62,90.700000,59.696675,27.947876
16,63,91.800000,64.904832,25.164721
16,64,92.700000,63.727702,27.818694
16,65,94.600000,64.523350,28.279378
16,66,96.700000,64.700680,29.635176
16,67,97.500000,68.540850,27.690891
16,68,96.500000,68.582075,29.216742
16,69,96.600000,71.804877,27.520371
16,70,99.200000,75.572002,25.567608
16,71,97.300000,76.061150,26.348907
16,72,100.400000,74.817325,29.114575
16,73,99.600000,74.692325,29.914068
16,74,99.400000,75.988175,29.762857
16,75,98.600000,77.778850,29.365380
16,76,99.600000,80.772825,26.885791
16,77,99.600000,80.528575,28.225633
16,78,99.500000,84.241800,24.268702
16,79,100.300000,86.653075,21.237701
16,80,99.500000,86.041550,24.268507
16,81,99.400000,89.574275,18.511335
16,82,99.400000,89.693000,19.642199
16,83,96.500000,90.480500,18.658214
16,84,96.500000,91.981750,16.333611
16,85,96.500000,91.031275,19.296438
16,86,96.500000,92.883750,14.999703
16,87,96.500000,93.863000,12.639471
16,88,96.500000,93.389775,14.319864
16,89,96.500000,94.500500,11.744357
16,90,96.500000,94.368000,12.688085
16,91,96.500000,94.883000,9.813645
16,92,96.500000,94.028525,13.559017
16,93,96.500000,94.596750,11.811857
16,94,96.500000,94.827500,10.847325
16,95,96.500000,94.589525,11.812892
16,96,96.500000,93.764000,14.390562
16,97,96.500000,92.662250,17.750483
16,98,96.500000,93.414275,15.811758
16,99,96.500000,95.092750,9.718593
